My Holdings,months ago,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
ticker,shares,30/09/2025,31/08/2025,31/07/2025,30/06/2025,31/05/2025,30/04/2025,31/03/2025,28/02/2025,31/01/2025,31/12/2024,30/11/2024,31/10/2024,30/09/2024,31/08/2024,31/07/2024,30/06/2024,31/05/2024,30/04/2024,31/03/2024,29/02/2024,31/01/2024,31/12/2023,30/11/2023,31/10/2023,30/09/2023,31/08/2023,31/07/2023,30/06/2023,31/05/2023,30/04/2023,31/03/2023,28/02/2023,31/01/2023,31/12/2022,30/11/2022,31/10/2022,30/09/2022
MSFT,200,440.20,432.03,467.01,421.99,407.00,376.99,346.98,382.42,400.49,407.29,407.32,373.27,386.38,370.13,386.51,425.45,382.33,365.00,393.39,382.82,368.00,335.45,347.88,319.60,303.94,302.25,305.45,311.90,307.04,277.51,265.18,235.81,228.17,223.31,244.73,234.80,237.53
LLY,200,639.13,628.81,647.84,661.34,658.21,710.80,763.40,886.84,782.61,745.97,755.89,762.20,795.52,864.70,743.05,851.74,755.53,732.29,704.69,697.53,597.57,535.64,542.63,523.61,508.41,511.06,413.32,429.54,401.55,368.55,315.88,294.23,316.87,340.21,355.94,366.25,329.78
SNOW,200,195.89,199.80,195.65,189.84,185.16,160.13,135.10,170.60,175.14,149.20,162.95,105.47,103.14,99.81,120.46,132.99,125.42,145.50,148.73,174.25,181.08,171.06,172.31,137.19,142.78,144.64,161.59,161.18,154.61,133.48,141.92,145.95,144.04,126.30,137.07,162.14,173.34
CRM,200,210.01,216.27,226.13,231.34,230.49,239.27,248.05,286.92,329.71,323.06,312.84,267.65,245.78,224.25,239.10,238.66,215.92,252.13,280.06,285.81,260.17,231.67,231.27,189.84,192.40,204.22,204.60,193.49,208.86,179.63,183.76,154.68,154.66,125.63,153.71,164.46,146.70
AAPL,200,208.66,196.48,181.70,174.06,177.70,191.51,205.32,232.96,227.72,241.98,226.44,207.52,209.22,201.38,205.18,201.90,177.06,159.69,157.54,167.28,170.68,167.91,174.39,161.42,164.11,173.25,178.63,177.66,165.73,154.02,151.68,139.36,132.85,116.58,141.99,155.10,140.95
AMZN,200,196.74,192.73,204.93,186.13,182.06,178.96,175.86,204.49,229.34,211.99,199.14,171.23,167.31,159.33,172.75,183.69,162.50,164.06,167.68,163.59,143.65,135.61,134.13,125.80,122.27,127.27,121.55,119.40,112.74,92.68,95.01,89.09,94.95,79.99,92.60,103.62,115.25
META,200,661.56,628.74,677.05,626.18,591.06,561.90,532.74,643.68,664.99,565.77,560.28,521.38,514.02,462.63,438.69,470.11,429.95,403.29,455.26,453.62,361.11,313.22,300.36,284.78,289.79,272.86,289.70,262.84,247.51,220.85,194.94,165.39,137.16,116.27,113.28,94.23,138.38
TSM,200,225.12,195.34,211.51,192.15,171.65,162.54,153.44,173.90,201.97,190.83,183.73,175.03,155.95,145.08,153.18,160.53,139.11,128.76,131.10,119.08,104.55,91.83,89.34,81.59,82.79,86.29,90.16,92.43,92.18,76.27,85.56,82.32,85.38,69.00,79.59,62.26,69.92
NVO,200,52.19,48.22,41.20,58.56,64.16,64.17,64.18,87.32,81.49,83.12,102.70,102.84,106.92,123.18,122.53,135.46,124.59,120.29,118.18,110.85,106.20,92.36,93.50,91.28,86.71,85.59,73.24,74.11,75.02,76.02,73.19,66.65,63.89,63.83,59.76,55.05,50.81
ASML,200,816.80,636.10,613.10,677.60,646.20,626.10,606.00,678.60,722.70,678.70,664.10,621.20,745.60,818.70,850.50,954.30,870.80,832.70,890.70,870.50,798.20,664.30,623.00,565.30,556.40,607.90,652.20,663.00,671.50,572.90,625.20,584.00,602.60,516.90,561.10,478.00,433.60
ABT,200,115.62,112.44,110.46,115.39,117.68,120.14,122.61,132.95,123.44,109.30,110.40,104.14,102.37,103.65,97.88,96.13,94.12,99.35,103.86,109.80,104.73,99.36,95.75,89.37,90.42,94.89,101.23,99.85,95.37,100.91,93.14,96.17,101.79,102.14,103.19,100.08,98.69
JNJ,200,149.75,152.29,144.21,129.59,136.91,145.10,153.29,158.96,146.81,139.74,146.30,146.85,145.52,151.11,145.83,136.41,135.08,135.55,146.19,149.36,147.08,144.69,141.99,140.22,146.54,149.09,152.33,151.60,144.98,148.58,142.57,144.90,150.47,166.09,170.74,175.97,166.61
AMD,200,133.77,138.83,154.34,120.39,100.99,97.98,94.96,96.20,111.88,116.72,134.26,132.34,147.33,123.79,133.48,146.89,153.71,148.48,169.87,178.19,155.21,125.35,111.24,93.11,97.54,97.49,104.02,104.33,110.53,81.46,90.15,74.29,69.19,59.67,74.46,60.75,64.62
IAEX,200,93.08,89.95,90.11,91.17,92.50,87.74,89.57,92.18,91.93,87.66,88.73,87.19,90.81,92.37,91.89,92.09,90.98,87.87,87.88,84.72,81.49,77.96,76.45,71.60,72.16,74.61,78.98,77.19,75.26,74.43,75.28,75.12,74.20,69.83,72.50,66.81,63.81
VUSA,200,107.09,104.94,105.84,99.78,97.84,92.25,97.32,107.33,111.45,108.03,109.43,100.10,97.52,96.93,96.90,96.56,91.16,90.19,91.45,89.17,85.40,82.04,79.21,74.88,77.47,79.22,78.79,77.11,74.20,70.68,71.19,71.27,70.60,69.49,72.83,74.34,70.83
