ticker,exchange,category,holding name,currency,current price,price low52,price high52,"market cap 
(in billion)",30-day return,1-year return,3-year return,pe ratio,eps,beta,avg trading volume (in million)
MSFT,NASDAQ,M7,Microsoft Corp, USD,509.04,344.79,555.45,"3,784",-1.60%,17.00%,108.20%,37.32,13.64,1.04,20.68
NVDA,NASDAQ,M7,NVIDIA Corp, USD,174.88,86.62,184.48,"4,250",-3.90%,51.30%,1207.00%,49.77,3.51,2.11,171.25
TSLA,NASDAQ,M7,Tesla Inc, USD,421.62,212.11,488.54,"1,321",25.80%,85.00%,36.40%,244.37,1.73,2.06,82.27
GOOG,NASDAQ,M7,Alphabet Inc Class C, USD,251.42,142.66,253.23,"3,038",23.10%,56.90%,142.10%,27.19,9.25,1.01,22.26
AAPL,NASDAQ,M7,Apple Inc, USD,238.15,169.21,260.1,"3,534",3.10%,9.90%,54.20%,36.2,6.58,1.11,55.8
AMZN,NASDAQ,M7,Amazon.com Inc, USD,234.05,161.38,242.52,"2,496",1.10%,25.20%,87.80%,35.72,6.55,1.31,38.36
META,NASDAQ,M7,Meta Platforms Inc, USD,779,479.8,796.25,"1,957",1.50%,45.20%,426.30%,28.25,27.58,1.24,10.23
CSPX,AMS,ETF,iShares Core S&P 500 UCITS ETF USD (Acc), EUR,595.75,465,625.57,NA,1.10%,10.70%,49.50%,NA,NA,NA,0.01
VOW3,ETR,AUTO,VOLKSWAGEN GROUP Common Stock, EUR,98.1,78.86,114.2,54,-0.80%,6.30%,-33.30%,5.89,16.65,NA,0.85
PAH3,ETR,AUTO,Porsche Automobil Holding SE, EUR,35.59,30.46,42.62,5,-1.90%,-11.60%,-48.60%,NA,-71.22,NA,0.41
F,NYSE,AUTO,Ford Motor Co, USD,11.61,8.44,11.99,46,1.30%,6.50%,-22.20%,14.82,0.78,1.51,52.01
TM,NYSE,AUTO,Toyota Motor Corp, USD,198.78,155,202.85,"46,603",0.50%,14.80%,40.50%,9,22.09,0.63,0.31
HMC,NYSE,AUTO,Honda Motor Co Ltd, USD,33.9,23.41,34.89,"8,749",-0.20%,7.70%,36.50%,11.78,2.88,0.52,0.77
BYDDF,OTCMKTS,AUTO,BYD Ord Shs H, USD,14.25,10.1,20.5,"1,089",-2.10%,37.90%,52.40%,NA,NA,0.41,0.39
